what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331131196036
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331131207190
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331131235785
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331131272305
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331131272320
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331131298092
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331131417759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331131542603
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331131542603
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331131544163
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331131550964
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331131773578
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331131777264
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331131777364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331131875706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1331131875733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331131890436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331131891633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331131891752
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331131897520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1331131903490
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331131906862
